sentence,label
"John has written the words, and Paul the music.","John has written the words, and Paul has written the music."
"Then at 10:15 the Dow suddenly started to rebound, and when it shot upward it did so even faster than the early-morning fall.","Then at 10:15 the Dow suddenly started to rebound, and when it shot upward it did so even faster than it had fallen early in the morning."
"If President Bush loses at the court, it might be disappointing, as Morrison v. Olson was for the Reagan administration.","If President Bush loses at the court, it might be disappointing, as Morrison v. Olson was disappointing for the Reagan administration."
"They had left the company, many for good.","They had left the company, many for good."
"Mary and Susan read a book right now, and Peter a newspaper.","Mary and Susan read a book right now, and Peter reads a newspaper."
"John can play something, but I don’t know what.","John can play something, but I don’t know what he can play."
I want to try to begin to write a novel and Mary to try to begin to write a play.,I want to try to begin to write a novel and Mary to try to begin to write a play.
"Mary has bought a car, but Carl hasn’t/has not.","Mary has bought a car, but Carl hasn’t bought a car."
"There are no price wars, no competition.","There are no price wars, no competition."
They lie - that's how.,They lie - that's how they do it.
"But the magazine was slower than its competitors to come up with its regional editions, and until last year offered fewer of them than did competitors.","But the magazine was slower than its competitors to come up with its regional editions, and until last year offered fewer of them than competitors did offer."
"Officials there declined to comment, as did Helmsley management.","Officials there declined to comment, as did Helmsley management decline to comment."
"Boober should have eaten, and Squeaker should, too.","Boober should have eaten, and Squeaker should have eaten, too."
"She did it first, and him too.","She did it first, and he did it too."
"Yes, he did.","Yes, he did."
"Traditional no-loads made their money by charging an annual management fee, usually a modest one; they imposed no other fees, and many still don't.","Traditional no-loads made their money by charging an annual management fee, usually a modest one; they imposed no other fees, and many still don't impose other fees."
"Image has, of course, a great deal to do with what sells and what doesn't, and it can't be forced.","Image has, of course, a great deal to do with what sells and what doesn't, and it can't be forced."
"As they did when the Philippines was a colony of the U.S., teachers for the most part teach in English, even though it is a foreign language for most Philippine children.","As they did when the Philippines was a colony of the U.S., teachers for the most part teach in English, even though it is a foreign language for most Philippine children."
Jorge thought he kissed everyone that Kevin did.,Jorge thought he kissed everyone that Kevin kissed.
"Broke his arm — very likely, ain’t it — and very convenient, too, for a fraud that’s got to make signs, and ain’t learnt how.","Broke his arm — very likely, ain’t it — and very convenient, too, for a fraud that’s got to make signs, and ain’t learnt how to make signs."
"Mary will dine soup, and Peter will, too.","Mary will dine on soup, and Peter will, too."
"Marsh lifted his head and gasped out with mock courtliness, “Oh, he hasn’t, hasn’t he?","Marsh lifted his head and gasped out with mock courtliness, “Oh, he hasn’t, hasn’t he?”"
"Paris shares had a similar reaction, but most other European bourses posted gains, as did all major Asian and Pacific stock markets.","Paris shares had a similar reaction, but most other European bourses posted gains, as did all major Asian and Pacific stock markets post gains."
"Most dogs can smell fear, but Sparky could not.","Most dogs can smell fear, but Sparky could not smell fear."
"The Bush White House is breeding non-duck ducks the same way the Nixon White House did: It hops on an issue that is unopposable--cleaner air, better treatment of the disabled, better child care.","The Bush White House is breeding non-duck ducks the same way the Nixon White House did: It hops on an issue that is unopposable--cleaner air, better treatment of the disabled, better child care."
"European multinationals do likewise; even in America, their affiliates are usually run by American managers.","European multinationals do likewise; even in America, their affiliates are usually run by American managers."
My dog.,My dog.
You either believe Seymour can do it again or you don't.,You either believe Seymour can do it again or you don't believe Seymour can do it again.
"If Brazil devises an economic strategy allowing it to resume growth and service debt, this could lead it to open up and deregulate its sheltered economy, analysts say, just as Argentinian President Carlos Saul Menem has been doing even though he was elected on a populist platform.","If Brazil devises an economic strategy allowing it to resume growth and service debt, this could lead it to open up and deregulate its sheltered economy, analysts say, just as Argentinian President Carlos Saul Menem has been opening up and deregulating the Argentinian economy even though he was elected on a populist platform."
"His allotment of materials also did, until the state couldn't hold up its end of that bargain.","His allotment of materials also held up, until the state couldn't hold up its end of that bargain."
I will bake the first batch of chocolate-chip cookies if you bake the second.,I will bake the first batch of chocolate-chip cookies if you bake the second batch of chocolate-chip cookies.
"No, about foreign policy.","No, about foreign policy."
"The guitarist hid behind the curtain suddenly, and the singer behind the stage.","The guitarist hid behind the curtain suddenly, and the singer hid behind the stage."
"In doing so, he neither rejected a socialist planned economy nor embraced the free market.","In doing so, he neither rejected a socialist planned economy nor embraced the free market."
"If I lived in Paris, I would be a poet, but I don't, so I won't.","If I lived in Paris, I would be a poet, but I don't live in Paris, so I won't be a poet."
"Both Dr. Mason and Dr. Sullivan oppose federal funding for abortion, as does President Bush, except in cases where a woman's life is threatened.","Both Dr. Mason and Dr. Sullivan oppose federal funding for abortion, as does President Bush oppose federal funding for abortion, except in cases where a woman's life is threatened."
If foreigners dump U.S. stocks and return to the safety of their home markets--as they did in October 1987--they must simultaneously also sell dollars for their own currencies.,If foreigners dump U.S. stocks and return to the safety of their home markets--as they did return to the safety of their home markets in October 1987--they must simultaneously also sell dollars for their own currencies.
"If I need to ask for money up front later, I will.","If I need to ask for money up front later, I will ask for money up front."
"In the third quarter, for example, junk bonds--those with less than an investment-grade rating--showed negative returns, the only major sector of the bond market to do so.","In the third quarter, for example, junk bonds--those with less than an investment-grade rating--showed negative returns, the only major sector of the bond market to show negative returns."
"Those sound like innocuous changes, but they're not.","Those sound like innocuous changes, but they're not."
"However, most people, having been subjected to news footage of the devastated South Bronx, look at the borough the way Tom Wolfe's Sherman McCoy did in ""Bonfire of the Vanities""--as a wrong turn into hell.","However, most people, having been subjected to news footage of the devastated South Bronx, look at the borough the way Tom Wolfe's Sherman McCoy did look at it in ""Bonfire of the Vanities""--as a wrong turn into hell."
And Bengali?,And Bengali?
"Sam likes his apple pie with vanilla ice cream, but Alex likes his with whipped cream.","Sam likes his apple pie with vanilla ice cream, but Alex likes his apple pie with whipped cream."
She saw every animal at the zoo but he saw only some.,She saw every animal at the zoo but he saw only some animals at the zoo.
"""I feel better than I ever have in my life,"" he says.","""I feel better than I ever have in my life,"" he says."
Ther’s six candles gone—that’s what.,There's six candles gone—that's what.
"So why does Renaissance's computer like stocks with the Dow at 2653.28, where it closed yesterday, when it didn't with the Dow at 2200?","So why does Renaissance's computer like stocks with the Dow at 2653.28, where it closed yesterday, when it didn't like stocks with the Dow at 2200?"
"It never hurt anyone, that is, unless the growth funds don't grow when you need them to.","It never hurt anyone, that is, unless the growth funds don't grow when you need them to grow."
"Those cuts, known as a ""sequester"" in budget jargon, became permanent yesterday, although Congress could cancel or rescind them whenever it wants to.","Those cuts, known as a ""sequester"" in budget jargon, became permanent yesterday, although Congress could cancel or rescind them whenever it wants to."
"Frank grovels a little for the bookers, probably no more or less than he would have to if he worked for a big corporation.","Frank grovels a little for the bookers, probably no more or less than he would have to grovel if he worked for a big corporation."
"First, economists James Bennett and Thomas DiLorenzo find that GOP senators turn back roughly 10% more of their allocated personal staff budgets than Democrats do.","First, economists James Bennett and Thomas DiLorenzo find that GOP senators turn back roughly 10% more of their allocated personal staff budgets than Democrats do turn back."
"In real life, jurors may not always work that way, but some court observers question why they shouldn't be encouraged to do so rather than be programmed not to.","In real life, jurors may not always work that way, but some court observers question why they shouldn't be encouraged to work that way rather than be programmed not to work that way."
If human beings can't cut federal spending honestly--and they can't --let the computers do it.,If human beings can't cut federal spending honestly--and they can't --let the computers cut it.
"He says that the Chinese never asked him to convey their statements to President Bush, but that the White House spontaneously invited him to do so.","He says that the Chinese never asked him to convey their statements to President Bush, but that the White House spontaneously invited him to do so."
"So are Indiana, Ohio and Michigan.","So are Indiana, Ohio, and Michigan."
The growth of Las Vegas tourism in recent years persuades lenders that they will.,The growth of Las Vegas tourism in recent years persuades lenders that they will lend.
"But Peter Brody, Magnascreen's president, says Japanese companies are poised to snatch the technology and put it to commercial use, just as they did with earlier U.S. innovations in color television and video recording.","But Peter Brody, Magnascreen's president, says Japanese companies are poised to snatch the technology and put it to commercial use, just as they did snatch earlier U.S. innovations in color television and video recording and put them to commercial use."
"If bluebloods won't pay high prices for racehorses anymore, who will?","If bluebloods won't pay high prices for racehorses anymore, who will pay high prices for racehorses?"
"And I said, 'You will.'","And I said, 'You will.'"
"""I'd love to see sports cut back, and so would a lot of my counterparts at other schools, but everybody's afraid to make the first move,"" he confided.","""I'd love to see sports cut back, and so would a lot of my counterparts at other schools, but everybody's afraid to make the first move,"" he confided."
"As a result, many economists were expecting the consumer price index to increase significantly more than it did.","As a result, many economists were expecting the consumer price index to increase significantly more than it did increase."
I couldn't talk with her as I would with someone who had a lot of vocal training.,I couldn't talk with her as I would talk with someone who had a lot of vocal training.
"His wife also works for the paper, as did his father.","His wife also works for the paper, as did his father work for the paper."
She will sell sea shells and he will too.,She will sell sea shells and he will sell sea shells too.
"Peter was talking with someone, but I don’t know who.","Peter was talking with someone, but I don’t know who Peter was talking with."
"Now, apparently, they do.","Now, apparently, they do."
"Even though National Geographic offers far more readers than does a magazine like Smithsonian, ""the page costs you an arm and a leg to develop any frequency,"" says Harry Glass, New York media manager for Bozell Inc.","Even though National Geographic offers far more readers than does a magazine like Smithsonian, ""the page costs you an arm and a leg to develop any frequency,"" says Harry Glass, New York media manager for Bozell Inc."
"But even if he agrees, Mr. Kemp doesn't write the nation's housing law--Congress does.","But even if he agrees, Mr. Kemp doesn't write the nation's housing law--Congress does write the nation's housing law."
"Ben might shower, but Jack can’t, and Austin can’t get dressed.","Ben might shower, but Jack can’t shower, and Austin can’t get dressed."
Guess who.,Guess who.
"Will Jimmy greet Jill first, or Jill Jimmy?","Will Jimmy greet Jill first, or will Jill greet Jimmy first?"
"He believes her to know the answer, and she him.","He believes her to know the answer, and she believes him to know the answer."
Say when.,Say when.
"Second, if the key assumption is valid, Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking.","Second, if the key assumption is valid, Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking."
"For years, he quietly stuck to the back accounting rooms, wearing a hat to work because everyone else did.","For years, he quietly stuck to the back accounting rooms, wearing a hat to work because everyone else wore a hat to work."
"Oh, am I dreaming? Am I drunk—or is my hearing playing me false? Why, I would rather go to — never mind where.","Oh, am I dreaming? Am I drunk—or is my hearing playing me false? Why, I would rather go to — never mind where."
"I want to try to begin to write a novel, and Mary to try a play.","I want to try to begin to write a novel, and Mary to try to write a play."
Certainly I do not.,Certainly I do not.
I give you my word.,I give you my word.
"""The sense is we would never be in a position again where everything works for us the way it did before,"" says Rod Eddington, Cathay's commercial director.","""The sense is we would never be in a position again where everything works for us the way it did work before,"" says Rod Eddington, Cathay's commercial director."
He did not go as far as he could have in tax reductions; indeed he combined them with increases in indirect taxes.,He did not go as far as he could have in tax reductions; indeed he combined them with increases in indirect taxes.
"If the University had actually known it was those three, it would for very consistency's sake have told how it knew it, and not stopped with the mere assertion.","If the University had actually known it was those three, it would for very consistency's sake have told how it knew it, and not stopped with the mere assertion."
"Fed Chairman Greenspan said the central bank can wipe out inflation without causing a recession, but doing so will inflict short-term pain.","Fed Chairman Greenspan said the central bank can wipe out inflation without causing a recession, but doing so will inflict short-term pain."
I want to try to begin to write a novel and Mary to write a play.,I want to try to begin to write a novel and Mary to write a play.
"He laughs too much, and you too.","He laughs too much, and you laugh too much too."
"Mister Ed couldn’t read, could he?","Mister Ed couldn’t read, could he?"
Charles scratched his arm and Devin did too.,Charles scratched his arm and Devin did too scratch his arm.
"While the network currently can operate freely in Budapest, so can others.","While the network currently can operate freely in Budapest, so can others operate freely."
They still are.,They still are.
"Barry could be drinking, but he shouldn’t be.","Barry could be drinking, but he shouldn’t be drinking."
"Ben might shower, but Jack can’t shower or Austin get dressed.","Ben might shower, but Jack can’t shower or Austin can't get dressed."
Poland produces about 20 times more soot and five times more sulfur dioxide and solid waste per unit of gross national product than does Western Europe.,Poland produces about 20 times more soot and five times more sulfur dioxide and solid waste per unit of gross national product than Western Europe does produce.
"Sam doesn't play sousaphone, nor Medusa sarrussophone.","Sam doesn't play sousaphone, nor does Medusa play sarrussophone."
"Revenue-short states also are becoming more aggressive pursuers of tax delinquents, and perhaps none tracks them down with more relish than does New York since it acquired an $80 million computer system in 1985.","Revenue-short states also are becoming more aggressive pursuers of tax delinquents, and perhaps none tracks them down with more relish than New York does since it acquired an $80 million computer system in 1985."
"Carrie gave a set of directions to me, and Will a map.","Carrie gave a set of directions to me, and Will gave a map."
I want to try to begin to write a novel and Mary a play.,I want to try to begin to write a novel and Mary wants to try to begin to write a play.
"Shearson, Merrill Lynch and Goldman Sachs say they do so only for customers, however.","Shearson, Merrill Lynch and Goldman Sachs say they do so only for customers, however."
"You are hungry, and me too.","You are hungry, and I am too."
"John I haven’t met, but Petra I have.","John I haven’t met, but Petra I have met."
"Federal Reserve Chairman Alan Greenspan told Congress that the Fed can wipe out inflation without causing a recession, but he said doing so will inflict some short-term pain and will require reducing the federal deficit sharply.","Federal Reserve Chairman Alan Greenspan told Congress that the Fed can wipe out inflation without causing a recession, but he said doing so will inflict some short-term pain and will require reducing the federal deficit sharply."
"Moreover, the Japanese government, now the world's largest aid donor, is pumping far more assistance into the region than the U.S. is.","Moreover, the Japanese government, now the world's largest aid donor, is pumping far more assistance into the region than the U.S. is pumping."
"I believe we have to take a shot at getting as much done as we can through the court, through Justice and through state and federal regulatory agencies.","I believe we have to take a shot at getting as much done as we can through the court, through Justice and through state and federal regulatory agencies."
"If President Bush fails to do so in his first year, he will invite Congress, for the remainder of his presidency, to rewrite Article II of the Constitution to suit its purposes.","If President Bush fails to do so in his first year, he will invite Congress, for the remainder of his presidency, to rewrite Article II of the Constitution to suit its purposes."
I caught the first train before you caught the second.,I caught the first train before you caught the second train.
Like which are droppable and which are not.,Like which are droppable and which are not.
"He did, too late to save Mr. Carter from forced retirement.","He did retire, too late to save Mr. Carter from forced retirement."
"But Mr. Lane said that while the SEC regulates who files, the law tells them when to do so.","But Mr. Lane said that while the SEC regulates who files, the law tells them when to do so."
The driver was killed and the passenger severely wounded.,The driver was killed and the passenger was severely wounded.
"Big cyclical companies are using ""all the tricks they can to stabilize earnings,"" says Mr. Sloan.","Big cyclical companies are using ""all the tricks they can to stabilize earnings,"" says Mr. Sloan."
"Fred likes to pet the cat, and Sally the dog.","Fred likes to pet the cat, and Sally likes to pet the dog."
"""We would stop index arbitrage when the market is under stress, and we have recently,"" he said, citing Oct. 13 and earlier this week.","""We would stop index arbitrage when the market is under stress, and we have stopped index arbitrage recently,"" he said, citing Oct. 13 and earlier this week."
"Jeremy’s restraining order hasn’t already expired, has it?","Jeremy’s restraining order hasn’t already expired, has it?"
"How soon Wang will stage a comeback, or if it will at all, are still matters of debate.","How soon Wang will stage a comeback, or if Wang will stage a comeback at all, are still matters of debate."
"I would be a poet if I lived in Paris, but I don't, so I won't.","I would be a poet if I lived in Paris, but I don't live in Paris, so I won't be a poet."
The government includes money spent on residential renovation; Dodge doesn't.,The government includes money spent on residential renovation; Dodge doesn't include money spent on residential renovation.
I feel about Sassy like I did about Working Woman 10 years ago.,I feel about Sassy like I did feel about Working Woman 10 years ago.
"In July, Par and a 60%-owned unit agreed to plead guilty in that inquiry, as did another former Par official.","In July, Par and a 60%-owned unit agreed to plead guilty in that inquiry, as did another former Par official agree to plead guilty in that inquiry."
"The question is, if group conflicts still exist (as undeniably they do), and if Mr. Mason's type of ethnic humor is passe, then what other means do we have for letting off steam?","The question is, if group conflicts still exist (as undeniably they do exist), and if Mr. Mason's type of ethnic humor is passe, then what other means do we have for letting off steam?"
"The Morgan case thus tells us much more about the current state of sex, class, race and politics in our society than it does about the facts of Dr. Morgan's particular situation.","The Morgan case thus tells us much more about the current state of sex, class, race and politics in our society than it does about the facts of Dr. Morgan's particular situation."
You sunk just about as low as NBC did in its reporting on Korean life during last year's Olympics.,You sunk just about as low as NBC did sink in its reporting on Korean life during last year's Olympics.
"In fact, he did; the quotes above are from Mr. Baker's speech of two weeks ago.","In fact, he did speak; the quotes above are from Mr. Baker's speech of two weeks ago."
"He spends his days sketching passers-by, or trying to.","He spends his days sketching passers-by, or trying to sketch passers-by."
"Then the whole thing will start to collapse, just as it did in the 1970s, and the ghosts and banshees will be howling through the place turning people's hair white.","Then the whole thing will start to collapse, just as it did collapse in the 1970s, and the ghosts and banshees will be howling through the place turning people's hair white."
"And then, asset values of the funds could plunge more than they have so far.","And then, asset values of the funds could plunge more than they have plunged so far."
They didn't.,They didn't.
"But as astounding as the changes that have already occurred are, there is a fragility to glasnost.","But as astounding as the changes that have already occurred are, there is a fragility to glasnost."
"Just as Pope John Paul II did in Seoul last week, President Bush and members of Congress ought to tell Mr. Roh in no uncertain terms that this kind of behavior is unacceptable.","Just as Pope John Paul II did tell in Seoul last week, President Bush and members of Congress ought to tell Mr. Roh in no uncertain terms that this kind of behavior is unacceptable."
"The quarter net was below analyst expectations mainly because truck-parts sales didn't rebound in September from the summer doldrums as they usually do, said Patrick E. Sheridan, analyst with McDonald & Co.","The quarter net was below analyst expectations mainly because truck-parts sales didn't rebound in September from the summer doldrums as they usually do rebound, said Patrick E. Sheridan, analyst with McDonald & Co."
"Sue is hungry and Peter is, too.","Sue is hungry and Peter is hungry, too."
"And don’t you look when Jim unloads the pan — something might happen, I don’t know what.","And don’t you look when Jim unloads the pan — something might happen, I don’t know what might happen."
I ignored you.,I ignored you.
"Wells Rich declined to comment on the status of the account, as did the other agencies.","Wells Rich declined to comment on the status of the account, as did the other agencies decline to comment on the status of the account."
"Yes, I will.","Yes, I will."
"If it does, the operation would be one of the largest foreign purchases of a U.K merchant bank.","If it does, the operation would be one of the largest foreign purchases of a U.K merchant bank."
"""By encouraging massive, routine, voluntary testing we can enable society to voluntarily segregate itself sexually into two groups: those who carry the virus and those who do not,"" the Indianapolis research organization said in a new report.","""By encouraging massive, routine, voluntary testing we can enable society to voluntarily segregate itself sexually into two groups: those who carry the virus and those who do not,"" the Indianapolis research organization said in a new report."
"To do so, Bull is planting itself firmly in the U.S., where, says Mr. Lorentz, a lot of the best people and research are.","To do so, Bull is planting itself firmly in the U.S., where, says Mr. Lorentz, a lot of the best people and research are."
"But this year, when the hullabaloo surrounding its centennial died, so too did some advertiser interest.","But this year, when the hullabaloo surrounding its centennial died, so too did some advertiser interest die."
"The rationale for responding to your customers' needs faster than the competition can is clear: Your company will benefit in terms of market share, customer satisfaction and profitability.","The rationale for responding to your customers' needs faster than the competition can respond is clear: Your company will benefit in terms of market share, customer satisfaction and profitability."
"Sam has done the work, and Bill, too.","Sam has done the work, and Bill has done the work, too."
"The thriving 34th Street area offers rents of about $100 a square foot, as do up-and-coming locations along lower Fifth Avenue.","The thriving 34th Street area offers rents of about $100 a square foot, as do up-and-coming locations along lower Fifth Avenue offer rents of about $100 a square foot."
To get asylum in Europe.,To get asylum in Europe.
An NEC spokeswoman responds that prices are higher in Japan because customers put a greater emphasis on quality and service than they do in the U.S.,An NEC spokeswoman responds that prices are higher in Japan because customers put a greater emphasis on quality and service than they do in the U.S.
"Analysts said the company's effort will be helped by its decision last year to put point-of-sale scanners in 200 stores, allowing National Convenience to quickly track items that are selling and those that aren't.","Analysts said the company's effort will be helped by its decision last year to put point-of-sale scanners in 200 stores, allowing National Convenience to quickly track items that are selling and those that aren't."
"She will high-five someone, but I don’t know who.","She will high-five someone, but I don’t know who she will high-five."
"But 70% of the cable-television-equipped households that watch news do so between 6:30 p.m. and 7 p.m., the network discovered, so CNN wants in.","But 70% of the cable-television-equipped households that watch news do so between 6:30 p.m. and 7 p.m., the network discovered, so CNN wants in."
"We helped your friends, before we helped ours.","We helped your friends, before we helped ours."
"But just as every previous NSC adviser has, Gen. Scowcroft now will have to mull at what point the NSC staff becomes too lean and too restrained.","But just as every previous NSC adviser has mulled, Gen. Scowcroft now will have to mull at what point the NSC staff becomes too lean and too restrained."
"As Mr. Noriega's political troubles grew, so did his offers of assistance to the Contras, an apparent attempt to curry more favor in Washington.","As Mr. Noriega's political troubles grew, so did his offers of assistance to the Contras grow, an apparent attempt to curry more favor in Washington."
"Jim has been observed by me, and Tom by you.","Jim has been observed by me, and Tom has been observed by you."
"I used to drink German beer, but I only drink Spanish now.","I used to drink German beer, but I only drink Spanish beer now."
"Lauren can play five instruments, and Mike can play six.","Lauren can play five instruments, and Mike can play six instruments."
"The arbs may recoup some of their paper losses if the UAL deal gets patched up again, as they did in 1982 when Occidental Petroleum Co. rescued them with a $4 billion takeover of Cities Service.","The arbs may recoup some of their paper losses if the UAL deal gets patched up again, as they did in 1982 when Occidental Petroleum Co. rescued them with a $4 billion takeover of Cities Service."
This bill simply says that if you want to develop property on a barrier island you have to do so without taxpayer support.,This bill simply says that if you want to develop property on a barrier island you have to do so without taxpayer support.
"Even the Soviet Union has Peter the Great to rediscover, should it choose to.","Even the Soviet Union has Peter the Great to rediscover, should it choose to rediscover him."
"She pointed out that even after Monday's 10% decline, the Straits Times index is up 24% this year, so investors who bailed out generally did so profitably.","She pointed out that even after Monday's 10% decline, the Straits Times index is up 24% this year, so investors who bailed out generally did so profitably."
"John always orders wine, and Mary beer.","John always orders wine, and Mary orders beer."
"Under that approach, countries with the most unused oil capacity would get bigger shares of any future increases in OPEC's production ceiling than they would under the current system.","Under that approach, countries with the most unused oil capacity would get bigger shares of any future increases in OPEC's production ceiling than they would get under the current system."
"Peter was talking with someone, but I don’t know whom.","Peter was talking with someone, but I don’t know with whom."
"Yes, but Jack saw more horses than Eric saw.","Yes, but Jack saw more horses than Eric did see."
"When WCRS created Della Femina McNamee out of the merger of three smaller agency units in 1988, it said it did so in order to attract larger clients, especially packaged-goods companies.","When WCRS created Della Femina McNamee out of the merger of three smaller agency units in 1988, it said it did so in order to attract larger clients, especially packaged-goods companies."
"Some school kids like syntax, and some don't like syntax.","Some school kids like syntax, and some don't like syntax."
Factory payrolls fell in September. So did the Federal Reserve Board's industrial-production index.,Factory payrolls fell in September. So did the Federal Reserve Board's industrial-production index fall in September.
"Why, she tried to learn you your book, she tried to learn you your manners, she tried to be good to you every way she knowed how.","Why, she tried to learn you your book, she tried to learn you your manners, she tried to be good to you every way she knew how."
"To the extent they did, their concern was to ensure fiscal accountability.","To the extent they did ensure fiscal accountability, their concern was to ensure fiscal accountability."
"Mary doesn't play softball, nor Susan volleyball.","Mary doesn't play softball, nor does Susan play volleyball."
"Nervousness that the market hasn't seen the last of its recent volatility kept trading at a moderate pace, as did anticipation of a report on the economy's third-quarter performance.","Nervousness that the market hasn't seen the last of its recent volatility kept trading at a moderate pace, as did anticipation of a report on the economy's third-quarter performance keep trading at a moderate pace."
"In the long, frightening night after Tuesday's devastating earthquake, Bay Area residents searched for comfort and solace wherever they could.","In the long, frightening night after Tuesday's devastating earthquake, Bay Area residents searched for comfort and solace wherever they could."
"Because the markets remained relatively calm, however, the Fed didn't have to inject massive amounts of money into the banking system, as it did in October 1987.","Because the markets remained relatively calm, however, the Fed didn't have to inject massive amounts of money into the banking system, as it did inject massive amounts of money into the banking system in October 1987."
"Should I do it, or you?","Should I do it, or should you do it?"
"John likes tea, and Mary coffee.","John likes tea, and Mary likes coffee."
"""Gold still acts as a haven when uncertainty prevails in the financial markets as it did "" yesterday, she said.","""Gold still acts as a haven when uncertainty prevails in the financial markets as it did act as a haven yesterday,"" she said."
"If it does, the large number of right-wing whites, who oppose any concessions to the black majority, will step up their agitation and threats to take matters into their own hands.","If it does, the large number of right-wing whites, who oppose any concessions to the black majority, will step up their agitation and threats to take matters into their own hands."
"On days when prices are tumbling, they must be willing to buy shares from sellers when no one else will.","On days when prices are tumbling, they must be willing to buy shares from sellers when no one else will buy shares from sellers."
"And if you are caught or if people complain, simply argue that ""everyone does it"" or ""no one said I shouldn't "" and brazen it out.","And if you are caught or if people complain, simply argue that ""everyone does it"" or ""no one said I shouldn't"" and brazen it out."
"I want to try to begin to write a novel, and Mary to begin a play.","I want to try to begin to write a novel, and Mary to begin to write a play."
"Susana did not read War and Peace, but Maria did.","Susana did not read War and Peace, but Maria did read War and Peace."
"Every linguist argued with a philosopher who took issue with one of his claims, but I can’t remember which one of his claims.","Every linguist argued with a philosopher who took issue with one of his claims, but I can’t remember which one of his claims the philosopher took issue with."
"So do those who seek a ""re-energized concept of citizenship,"" a concept imposing stern obligations as well as conferring rights.","So do those who seek a ""re-energized concept of citizenship,"" a concept imposing stern obligations as well as conferring rights seek a ""re-energized concept of citizenship."""
"Sophie barks at racoons in the morning, and Sophie at squirrels, too.","Sophie barks at racoons in the morning, and Sophie barks at squirrels, too."
"China might stave off a crisis if it acts as forcefully as it did to arrest the 1985 decline, when Beijing slammed the brakes on foreign-exchange spending and devalued the currency.","China might stave off a crisis if it acts as forcefully as it did to arrest the 1985 decline, when Beijing slammed the brakes on foreign-exchange spending and devalued the currency."
Of course it was.,Of course it was.
"Lauren can play the guitar, and Mike as well.","Lauren can play the guitar, and Mike can as well."
"A former executive agreed that the departures don't reflect major problems, adding: ""If you see any company that grows as fast as Reebok did, it is going to have people coming and going.""","A former executive agreed that the departures don't reflect major problems, adding: ""If you see any company that grows as fast as Reebok did, it is going to have people coming and going."""
"Dark hints would be raised that parts of the administration hope Mr. Gorbachev would fail, just as they were when Vice President Quayle voiced similar sentiments.","Dark hints would be raised that parts of the administration hope Mr. Gorbachev would fail, just as they were raised when Vice President Quayle voiced similar sentiments."
"John left, didn’t he?","John left, didn’t he?"
