باستمرار تحسين مهاراتنا.,___ باستمرار تحسين مهاراتنا.
شكرا سيدي الرئيس، صحيح أنها عدلت ولكن لماذا ؟,شكرا سيدي الرئيس، صحيح أنها عدلت ولكن لماذا ___؟
الحديد,الحديد ___
في حالات السفر البعيد.,___ في حالات السفر البعيد.
حزن,___ حزن
نعم السودان يمكنه أن يحقق طفرات ولكن كيف ؟,نعم السودان يمكنه أن يحقق طفرات ولكن كيف ___ ؟
بتقديم المساعدة في المهام اليومية.,___ بتقديم المساعدة في المهام اليومية.
المجتمع يهتم الناس و حياتهم,المجتمع يهتم الناس و ___ حياتهم
الصقر,الصقر ___
في صناديق التبرع.,___ في صناديق التبرع.
على الرفوف.,___ على الرفوف.
وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و آخر عن مصادر الطاقة الحيوية في لبنان,وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و ___ آخر عن مصادر الطاقة الحيوية في لبنان
برمي القمامة في الحاويات.,___ برمي القمامة في الحاويات.
بالدراسة والامتحانات.,___ بالدراسة والامتحانات.
بالاستماع والقراءة والكتابة والتحدث.,___ بالاستماع والقراءة والكتابة والتحدث.
فدراسة تتحدث عن الفوائد وأخرى عن المضار,فدراسة تتحدث عن الفوائد و___أخرى ___عن المضار
في الحدائق والملاعب.,___ في الحدائق والملاعب.
عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ؟,عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ___؟
فدراسة تتحدث عن الفوائد و أخرى عن المضار,فدراسة تتحدث عن الفوائد و ___ أخرى عن المضار
سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و آخر عن سيارة فورد جالاكسي.,سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و ___ آخر عن سيارة فورد جالاكسي.
كما أحرز هدفًا عن طريق ركلة جزاء و آخر عن طريق ركلة حرة مباشرة.,كما أحرز هدفًا عن طريق ركلة جزاء و ___ آخر عن طريق ركلة حرة مباشرة.
باريس,باريس ___
ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك عن عالم السجن الداخلي.,ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك ___ عن عالم السجن الداخلي.
بالامتناع عن التمييز.,___ بالامتناع عن التمييز.
ردوا بأنهم لا يريدون مضيفن سوريين اما مضيفات فممكن,ردوا بأنهم لا يريدون مضيفن سوريين اما مضيفات فممكن ___
إلى المسجد أو المصلى.,___ إلى المسجد أو المصلى.
ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن للتصريف فلا,ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن للتصريف فلا ___
الين,الين ___
خوفو,خوفو ___
ونسمع بين فترة وأخرى عن تكون السحب السوداء,ونسمع بين فترة و___أخرى عن تكون السحب السوداء
بتنظيم وقتنا.,___ بتنظيم وقتنا.
الاستناد إلى التقدم المحرز في الدورات السابقة للجمعية العامة للجمعية العامة وكذلك إلى القرارات السابقة,الاستناد إلى التقدم المحرز في الدورات السابقة للجمعية العامة للجمعية العامة وكذلك ___ إلى القرارات السابقة
وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ؟,وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ___ ؟
بالمشاركة الفعّالة.,___ بالمشاركة الفعّالة.
الآلة الحاسبة أو التطبيقات.,___ الآلة الحاسبة أو التطبيقات.
هناك جلسة مهمة عن استراتيجيات التواصل مع الإدارة الاميركية و أخرى عن العمل مع المشترعين الأمريكيين,هناك جلسة مهمة عن استراتيجيات التواصل مع الإدارة الاميركية و ___ أخرى عن العمل مع المشترعين الأمريكيين
بطيء,بطيء ___
خاطئ,خاطئ ___
وكان بدأ بإصدار موسوعة حركة القوميين العرب و أخرى عن الأحزاب السياسية في العالم العربي,وكان بدأ بإصدار موسوعة حركة القوميين العرب و ___ أخرى عن الأحزاب السياسية في العالم العربي
بانتظار الضوء الخضراء.,___ بانتظار الضوء الخضراء.
أصفر,___ أصفر
عمر يمكنه شراء سيارة، وحسن أيضا يستطيع,عمر يمكنه شراء سيارة، وحسن أيضا يستطيع ___
فبراير,فبراير ___
جيمس وات,جيمس وات ___
صغير,صغير ___
لا بد أن نتغير ولكن كيف ؟,لا بد أن نتغير ولكن كيف ___ ؟
ميغيل دي سرفانتس,ميغيل دي سرفانتس ___
بقضاء وقت جيد مع أفراد العائلة.,___ بقضاء وقت جيد مع أفراد العائلة.
بسقيها بانتظام.,___ بسقيها بانتظام.
الليل,الليل ___
نيوتون,نيوتون ___
ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و آخر عن الحل السياسي من كافة جوانبه,ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و ___ آخر عن الحل السياسي من كافة جوانبه
في الجريدة أو الإذاعة.,___ في الجريدة أو الإذاعة.
ولا بد من منع مثل هذه الكارثة، ولكن كيف ؟,ولا بد من منع مثل هذه الكارثة، ولكن كيف___ ؟
استياء,___ استياء
فرح,___ فرح
الخبز أو الأرز.,___ الخبز أو الأرز.
في الشركات والمؤسسات.,___ في الشركات والمؤسسات.
بالسقاية والتسميد.,___ بالسقاية والتسميد.
هادريان,هادريان ___
عثمان بن أرطغرل,عثمان بن أرطغرل ___
في السماء الليلية المظلمة.,___ في السماء الليلية المظلمة.
في صناديق تخزين خاصة.,___ في صناديق تخزين خاصة.
فريدريك الثاني,فريدريك الثاني ___
احترام القواعد,___ احترام القواعد
صوديوم,صوديوم ___
إيفرست,إيفرست ___
بمنحها العناية والحب.,___ بمنحها العناية والحب.
أبريل,أبريل ___
هم يستطيع أن ينجحوا في الامتحان، ونحن كذلك,هم يستطيع أن ينجحوا في الامتحان، ونحن كذلك ___
بالمشاركة في الفعاليات الاجتماعية.,___ بالمشاركة في الفعاليات الاجتماعية.
فبادرني بالقول: سنصبح عائلة واحدة، فأجبته:;كيف ؟,فبادرني بالقول: سنصبح عائلة واحدة، فأجبته:;كيف ___؟
أخلاق,___ أخلاق
خسارة,___ خسارة
وهو في خلوته ولا يراه أحد إلا الله.,وهو في خلوته ولا يراه أحد إلا الله ___.
ماو تسي تونغ,ماو تسي تونغ ___
في جميع الأوقات.,___ في جميع الأوقات.
في الصالة الرياضية.,___ في الصالة الرياضية.
بالمكونات الطازجة والصحية.,___ بالمكونات الطازجة والصحية.
فيلم تسجيلى عن بداية تأسيس المستشفى و آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.,فيلم تسجيلى عن بداية تأسيس المستشفى و ___ آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.
بالتخطيط والتفاني.,___ بالتخطيط والتفاني.
بالاجتماع بانتظام.,___ بالاجتماع بانتظام.
الديناصورات,الديناصورات ___
بتقديم القصص المثيرة.,___ بتقديم القصص المثيرة.
عند مغادرة الغرفة.,___ عند مغادرة الغرفة.
بالحد من الاستهلاك.,___ بالحد من الاستهلاك.
مطعم,___ مطعم
الطقس,___ الطقس
صدرت تصريحات عن المسؤولين في الحكومة اليمنية وأخرى عن جماعة أنصار الله,صدرت تصريحات عن المسؤولين في الحكومة اليمنية و___أخرى عن جماعة أنصار الله
على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ؟,على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ___ ؟
ثم عاد الضيف بقصيدة عن ذكرى عبور السويس وأخرى عن الغزل,ثم عاد الضيف بقصيدة عن ذكرى عبور السويس و___أخرى عن الغزل
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و ___ آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع
غدًا,___ غدًا
بالمحافظة على الموارد الطبيعية.,___ بالمحافظة على الموارد الطبيعية.
الحذاء,___ الحذاء
في المكتبات.,___ في المكتبات.
بمشاركة السيارات أو استخدام وسائل النقل العامة.,___ بمشاركة السيارات أو استخدام وسائل النقل العامة.
بأفران التدفئة والمدافئ.,___ بأفران التدفئة والمدافئ.
بزيادة الاستثمارات.,___ بزيادة الاستثمارات.
النيتروجين,النيتروجين ___
من أجل الاستفادة.,___ من أجل الاستفادة.
بتوجيههم وتعليم القيم الصحيحة.,___ بتوجيههم وتعليم القيم الصحيحة.
الشمس,الشمس ___
هم يحبون كرة القدم و كرة السلة,هم يحبون كرة القدم و ___ كرة السلة
باختيار وظيفة مناسبة.,___ باختيار وظيفة مناسبة.
نمر البنغال,نمر البنغال ___
بالكتب والأفلام والهوايات.,___ بالكتب والأفلام والهوايات.
أوكتافيان,أوكتافيان ___
بالمحافظة على النباتات والحيوانات.,___ بالمحافظة على النباتات والحيوانات.
نشاطات اجتماعية,___ نشاطات اجتماعية
بمناقشة الأفكار والآراء.,___ بمناقشة الأفكار والآراء.
وظيفة,___ وظيفة
حرية التعبير,___ حرية التعبير
عمال المحلة يؤسسون نقابة مستقلة,عمال ___ المحلة يؤسسون نقابة مستقلة
الرحيل,___ الرحيل
في الأعياد والمناسبات الخاصة.,___ في الأعياد والمناسبات الخاصة.
بتخصيص الوقت للأسرة والاسترخاء.,___ بتخصيص الوقت للأسرة والاسترخاء.
قرأت فى الثانية عشر كتابا عن شوبنهاور و آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت فى الثانية عشر كتابا عن شوبنهاور و ___ آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية
غني,___ غني
ولو,___ ولو
كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن,كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن ___
كان له نصيب عن عمله وآخر عما قدمه,كان له نصيب عن عمله و___آخر عما قدمه
كثيرا من الأسرار التي لا يعرفها كثيرون عن الحرب العراقية الإيرانية، وكذلك عن حرب الخليج الثانية,كثيرا من الأسرار التي لا يعرفها كثيرون عن الحرب العراقية الإيرانية، وكذلك ___ عن حرب الخليج الثانية
في مدارس الموسيقى.,___ في مدارس الموسيقى.
يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا,يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا ___
الحوت الأزرق,الحوت الأزرق ___
وقد أصدرت أعداداً ممتازة عن مشكلات التعليم الديني، و أخرى عن الفتوى وصناعة المفتي,وقد أصدرت أعداداً ممتازة عن مشكلات التعليم الديني، و ___ أخرى عن الفتوى وصناعة المفتي
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,لسماع حكمة جديدة كل يوم و___أخرى عن عالمات الفلك والنجوم
أعزب,___ أعزب
كلنا نشعر بالجوع و العطش,كلنا نشعر بالجوع و ___ العطش
يختار كل منهم صورة فوتوغرافية تعبر عن الحرب و أخرى عن السلام,يختار كل منهم صورة فوتوغرافية تعبر عن الحرب و ___ أخرى عن السلام
بالمكونات الطازجة.,___ بالمكونات الطازجة.
نرجو تشكيل لجنة لبحث هذا الامر لدينا شكاوى مسلمة باليد و أخرى عن طريق الفاكس والاميل,نرجو تشكيل لجنة لبحث هذا الامر لدينا شكاوى مسلمة باليد و ___ أخرى عن طريق الفاكس والاميل
المصابيح أو الشموع.,___ المصابيح أو الشموع.
الفندق مريح جداً وفخم والموقع ممتاز وقريب من السنتر وكذلك من البحيرة والميناء الرئيسي للسفر,الفندق مريح جداً وفخم والموقع ممتاز وقريب من السنتر وكذلك ___ من البحيرة والميناء الرئيسي للسفر
منهم من يعمل ويستلم راتب وكذلك رشاوي,منهم من يعمل ويستلم راتب وكذلك ___ رشاوي
أخي يعيش في القاهرة و يعمل في شركة,أخي يعيش في القاهرة و ___ يعمل في شركة
أبراهام لينكولن,أبراهام لينكولن ___
في الأوقات المخصصة للصلوات والعبادة.,___ في الأوقات المخصصة للصلوات والعبادة.
جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف ؟,جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف ___؟
الفوسفور,الفوسفور ___
بمشاهدة التلفزيون أو قراءة كتاب.,___ بمشاهدة التلفزيون أو قراءة كتاب.
رأيت رجلا عجوز وفتاه في الشارع,رأيت رجلا عجوز و___فتاه في الشارع
هل يجوز للمراه ممارسة الرياضة بالمراكز المخصصه بالنساء وكذلك ممارسة رياضة كرة السلة وكرة الطائرة,هل يجوز للمراه ممارسة الرياضة بالمراكز المخصصه بالنساء وكذلك ___ ممارسة رياضة كرة السلة وكرة الطائرة
البرتغالية,البرتغالية ___
الكربون,الكربون ___
الملابس الدافئة والكنزات والجوارب.,___ الملابس الدافئة والكنزات والجوارب.
كما عرض فيلم قصير عن بدايات السينما و آخر عن مهرجان خطوات منذ انطلاقته في العام 2013,كما عرض فيلم قصير عن بدايات السينما و ___ آخر عن مهرجان خطوات منذ انطلاقته في العام 2013
الأكسجين,الأكسجين ___
محمد.,___ محمد.
رأيت سجينا عن يميني وآخر عن شمال وآخر من خلفي,رأيت سجينا عن يميني و___آخر عن شمال و___آخر من خلفي
بتعزيز اللياقة البدنية.,___ بتعزيز اللياقة البدنية.
وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا,وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا ___
فلماذا لا يحتوى القاموس على ترجمة بلا انترنت و أخرى عن طريق الانترنت,فلماذا لا يحتوى القاموس على ترجمة بلا انترنت و ___ أخرى عن طريق الانترنت
التمثيل الضوئي,التمثيل الضوئي ___
متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية,متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك ___ أخبار مصر في الصحف المصرية
من السوق المحلي.,___ من السوق المحلي.
بالقطار,___ بالقطار
فولتير,فولتير ___
ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ؟,ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ___ ؟
يتناول هذا المقال التعريف بالأسمدة العضوية وأهم فوائدها وكذلك أضرار الأسمدة الكيماوية,يتناول هذا المقال التعريف بالأسمدة العضوية وأهم فوائدها وكذلك ___ أضرار الأسمدة الكيماوية
نبروخذنزر,نبروخذنزر ___
في الخرائط والأطلس.,___ في الخرائط والأطلس.
بالاعتماد على وسائل النقل العامة.,___ بالاعتماد على وسائل النقل العامة.
عرض فيلم وثائقي عن المملكة والعلاقة التاريخية مع إيطاليا و آخر عن تأسيس مدينة روما,عرض فيلم وثائقي عن المملكة والعلاقة التاريخية مع إيطاليا و ___ آخر عن تأسيس مدينة روما
بزيادة الرواتب وتوفير المزايا.,___ بزيادة الرواتب وتوفير المزايا.
في مدارس اللغات.,___ في مدارس اللغات.
الأخضر,الأخضر ___
ستقع في مشاكل كل يوم بسبب الصلة بإسرائيل، فقال ولكن لماذا ؟,ستقع في مشاكل كل يوم بسبب الصلة بإسرائيل، فقال ولكن لماذا ___؟
البطريق,البطريق ___
هي طلبت فراخ وأنا لحم,هي طلبت فراخ وأنا ___ لحم
بالمحافظة على التقاليد والعادات.,___ بالمحافظة على التقاليد والعادات.
فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ولكن لماذا ؟,فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ولكن لماذا ___؟
جان جاك روسو,جان جاك روسو ___
وتضم اكاديمية لتعليم كورة القدم والتنس ايضا وكذلك متجر خاص بالأكاديمية والعديد من الأخبار,وتضم اكاديمية لتعليم كورة القدم والتنس ايضا وكذلك ___ متجر خاص بالأكاديمية والعديد من الأخبار
يوسف ستالين,يوسف ستالين ___
وقالوا له أنت تدخل أما هؤلاء فلا,وقالوا له أنت تدخل أما هؤلاء فلا ___
دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك حالات فشل القلب,دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك ___ حالات فشل القلب
الإسبانية,الإسبانية ___
محمد يستطيع أن يذهب بمفرده، حتى محمود يستطيع,محمد يستطيع أن يذهب بمفرده، حتى محمود يستطيع___
في الأنهار والبحار.,___ في الأنهار والبحار.
المسافر يفطر نعم ولكن متى ؟,المسافر يفطر نعم ولكن متى ___ ؟
في الكتب والمقالات البحثية.,___ في الكتب والمقالات البحثية.
قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها وأخرى عن بعض المناطق التي سافرت إليها,قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها و___أخرى عن بعض المناطق التي سافرت إليها
ولو,___ ولو
علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر,علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر ___
فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك إلى الحماس الشديد,فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك ___ إلى الحماس الشديد
بالملابس والمستلزمات الشخصية.,___ بالملابس والمستلزمات الشخصية.
بعد نصف ساعة.,___ بعد نصف ساعة.
أحب من الأسماء ما شابه اسمها ووافقه,أحب من الأسماء ما شابه اسمها و___وافقه
وكذلك محاضرة عن أمراض أعصاب القولون عند الأطفال و أخرى عن تشوهات المريء,وكذلك محاضرة عن أمراض أعصاب القولون عند الأطفال و ___ أخرى عن تشوهات المريء
الخوارزمي,الخوارزمي ___
الموز,الموز ___
قرأت كتابا عن السعادة وآخر عن السينما,قرأت كتابا عن السعادة و___آخر عن السينما
لإنجاز المهام والمشروعات.,___ لإنجاز المهام والمشروعات.
وليد,وليد ___
بعدم التصرف الغير مسؤول.,___ بعدم التصرف الغير مسؤول.
ثم عاد الضيف بقصيدة عن ذكرى عبور السويس و أخرى عن الغزل,ثم عاد الضيف بقصيدة عن ذكرى عبور السويس و ___ أخرى عن الغزل
بالميزانية والتوفير.,___ بالميزانية والتوفير.
حفل تكريم,___ حفل تكريم
في الأوقات الصعبة.,___ في الأوقات الصعبة.
ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و آخر عن الفرق بين المناضل والانتهازي,ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و ___ آخر عن الفرق بين المناضل والانتهازي
وتساعد الدولة على دفع بعض الأقساط وكذلك الحصول على مبلغ مالي مقطوع,وتساعد الدولة على دفع بعض الأقساط وكذلك ___ الحصول على مبلغ مالي مقطوع
كما سيقام مؤتمر طفل القرية بقصر ثقافة تصفا بمحافظة القليوبية و آخر عن الحرف التقليدية رؤية مستقبلية.,كما سيقام مؤتمر طفل القرية بقصر ثقافة تصفا بمحافظة القليوبية و ___ آخر عن الحرف التقليدية رؤية مستقبلية.
بعدم مشاركة المعلومات الشخصية.,___ بعدم مشاركة المعلومات الشخصية.
بالتعلم المستمر.,___ بالتعلم المستمر.
أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ؟,أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ___ ؟
إذ لابد أن ينزلوا من فوقها ولكن كيف ؟,إذ لابد أن ينزلوا من فوقها ولكن كيف ___ ؟
ويقول العلماء ان السؤال ليس هل سيحدث ذلك ولكن متى ؟,ويقول العلماء ان السؤال ليس هل سيحدث ذلك ولكن متى ___ ؟
نيلسون مانديلا,نيلسون مانديلا ___
بغسل الأطباق وكنس الأرضية.,___ بغسل الأطباق وكنس الأرضية.
جورج واشنطن وتوماس جيفرسون,جورج واشنطن وتوماس جيفرسون ___
زواج متعدد,___ زواج متعدد
الجنوب,الجنوب ___
بممارسة الامتنان.,___ بممارسة الامتنان.
طوكيو,طوكيو ___
تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا ؟,تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا ___؟
وقد جرى اصطياد بعضها بالبنادق وأخرى عن طريق الفخ والشبكة,وقد جرى اصطياد بعضها بالبنادق و___أخرى عن طريق الفخ والشبكة
أنا على يقين أنه سيحدث ذلك في يومٍ من الأيام ولكن متى ؟,أنا على يقين أنه سيحدث ذلك في يومٍ من الأيام ولكن متى ___ ؟
مؤسسا مدينة روما,___ مؤسسا مدينة روما
بالمحافظة على المواطن الطبيعية.,___ بالمحافظة على المواطن الطبيعية.
يجب أن انتقل إلى شقتي! ولكن كيف ؟,يجب أن انتقل إلى شقتي! ولكن كيف ___ ؟
في المكتبة أو المعرض.,___ في المكتبة أو المعرض.
بممارسة الرياضة بانتظام.,___ بممارسة الرياضة بانتظام.
بحل النزاعات بسلمية.,___ بحل النزاعات بسلمية.
في دور السينما.,___ في دور السينما.
