احترام القواعد,___ احترام القواعد
رأيت سجينا عن يميني وآخر عن شمال وآخر من خلفي,رأيت سجينا عن يميني و___آخر عن شمال و___آخر من خلفي
ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و آخر عن الفرق بين المناضل والانتهازي,ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و ___ آخر عن الفرق بين المناضل والانتهازي
نيوتون,نيوتون ___
فرح,___ فرح
الهيليوم,الهيليوم ___
سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و آخر عن سيارة فورد جالاكسي.,سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و ___ آخر عن سيارة فورد جالاكسي.
بتقديم القصص المثيرة.,___ بتقديم القصص المثيرة.
من الممكن أن تستثمر سارة أموالها في البنك، أو في العقارات,من الممكن أن تستثمر سارة أموالها في البنك، أو ___ في العقارات
القمر,القمر ___
الأذن,الأذن ___
وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا,وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا ___
والجزء الأكبر من تلك الطرق معبد بواقع 3،732،757 كم أما الباقي فلا,والجزء الأكبر من تلك الطرق معبد بواقع 3،732،757 كم أما الباقي فلا ___
رأيت رجلا عجوز وفتاه في الشارع,رأيت رجلا عجوز و___فتاه في الشارع
وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و آخر عن مصادر الطاقة الحيوية في لبنان,وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و ___ آخر عن مصادر الطاقة الحيوية في لبنان
بالاعتماد على وسائل النقل العامة.,___ بالاعتماد على وسائل النقل العامة.
في صناديق تخزين خاصة.,___ في صناديق تخزين خاصة.
برمي القمامة في الحاويات.,___ برمي القمامة في الحاويات.
فلماذا لا يحتوى القاموس على ترجمة بلا انترنت و أخرى عن طريق الانترنت,فلماذا لا يحتوى القاموس على ترجمة بلا انترنت و ___ أخرى عن طريق الانترنت
كلنا نشعر بالجوع و العطش,كلنا نشعر بالجوع و ___ العطش
طوكيو,طوكيو ___
يختار كل منهم صورة فوتوغرافية تعبر عن الحرب و أخرى عن السلام,يختار كل منهم صورة فوتوغرافية تعبر عن الحرب و ___ أخرى عن السلام
أنا سأخذ الأبيض وخالد الأسود,أنا سأخذ الأبيض وخالد ___ الأسود
هناك جلسة مهمة عن استراتيجيات التواصل مع الإدارة الاميركية و أخرى عن العمل مع المشترعين الأمريكيين,هناك جلسة مهمة عن استراتيجيات التواصل مع الإدارة الاميركية و ___ أخرى عن العمل مع المشترعين الأمريكيين
الأخضر,الأخضر ___
في المؤسسات الخيرية.,___ في المؤسسات الخيرية.
فيلم تسجيلى عن بداية تأسيس المستشفى و آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.,فيلم تسجيلى عن بداية تأسيس المستشفى و ___ آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و ___ آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع
الفوسفور,الفوسفور ___
جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف ؟,جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف ___؟
ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك عن عالم السجن الداخلي.,ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك ___ عن عالم السجن الداخلي.
تقديم بلاغات إلكترونياً ضد أي رجل أمن يستخدم سلطته بشكل مسيء، وكذلك ضد المحرضين والمتجاوزين بشبكات التواصل الاجتماعي,تقديم بلاغات إلكترونياً ضد أي رجل أمن يستخدم سلطته بشكل مسيء، وكذلك ___ ضد المحرضين والمتجاوزين بشبكات التواصل الاجتماعي
بالمكونات الطازجة والصحية.,___ بالمكونات الطازجة والصحية.
مطعم,___ مطعم
الحديد,الحديد ___
وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ؟,وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ___ ؟
الخوارزمي,الخوارزمي ___
دعا الى مواصلة تنظيم مثل هذه الورشة وكذلك الدورات لتأهيل محكمين,دعا الى مواصلة تنظيم مثل هذه الورشة وكذلك ___ الدورات لتأهيل محكمين
بالكتب والأفلام والهوايات.,___ بالكتب والأفلام والهوايات.
سنبقى هكذا حتى يتوحدوا ويحسموا أمرهم ولكن متى ؟,سنبقى هكذا حتى يتوحدوا ويحسموا أمرهم ولكن متى ___ ؟
باريس,باريس ___
بتمكين الأفراد وتطوير المجتمع.,___ بتمكين الأفراد وتطوير المجتمع.
في دور السينما.,___ في دور السينما.
شكرا سيدي الرئيس، صحيح أنها عدلت ولكن لماذا ؟,شكرا سيدي الرئيس، صحيح أنها عدلت ولكن لماذا ___؟
في الخرائط والأطلس.,___ في الخرائط والأطلس.
شاهدنا الفيلم الجديد والمسلسل القديم,شاهدنا الفيلم الجديد و___المسلسل القديم
الزئبق,الزئبق ___
وكان بدأ بإصدار موسوعة حركة القوميين العرب و أخرى عن الأحزاب السياسية في العالم العربي,وكان بدأ بإصدار موسوعة حركة القوميين العرب و ___ أخرى عن الأحزاب السياسية في العالم العربي
عمال الضفائر يتظاهرون تضامنا مع إضراب المحلة,عمال الضفائر يتظاهرون تضامنا مع إضراب ___ المحلة
فدراسة تتحدث عن الفوائد وأخرى عن المضار,فدراسة تتحدث عن الفوائد و___أخرى ___عن المضار
في الطبيعة.,___ في الطبيعة.
متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية,متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك ___ أخبار مصر في الصحف المصرية
بممارسة الامتنان.,___ بممارسة الامتنان.
في السماء الليلية المظلمة.,___ في السماء الليلية المظلمة.
وتساعد الدولة على دفع بعض الأقساط وكذلك الحصول على مبلغ مالي مقطوع,وتساعد الدولة على دفع بعض الأقساط وكذلك ___ الحصول على مبلغ مالي مقطوع
بمشاركة السيارات أو استخدام وسائل النقل العامة.,___ بمشاركة السيارات أو استخدام وسائل النقل العامة.
نهاية,نهاية ___
الجنيه الإسترليني,الجنيه الإسترليني ___
في الكتب أو المواقع الرسمية.,___ في الكتب أو المواقع الرسمية.
وليد,وليد ___
بطيء,بطيء ___
علاقة,___ علاقة
بتعزيز اللياقة البدنية.,___ بتعزيز اللياقة البدنية.
دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك حالات فشل القلب,دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك ___ حالات فشل القلب
في الأنهار والبحار.,___ في الأنهار والبحار.
بالتعرف على الثقافات المختلفة.,___ بالتعرف على الثقافات المختلفة.
إلى النادي أو المركز الثقافي.,___ إلى النادي أو المركز الثقافي.
على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ؟,على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ___ ؟
باختيار الوجهة المفضلة لدينا.,___ باختيار الوجهة المفضلة لدينا.
كما عرض فيلم قصير عن بدايات السينما و آخر عن مهرجان خطوات منذ انطلاقته في العام 2013,كما عرض فيلم قصير عن بدايات السينما و ___ آخر عن مهرجان خطوات منذ انطلاقته في العام 2013
في الأعياد الوطنية.,___ في الأعياد الوطنية.
في الكتب والمقالات البحثية.,___ في الكتب والمقالات البحثية.
في مدارس الموسيقى.,___ في مدارس الموسيقى.
في اليوم الثاني والعشرين من مارس.,___ في اليوم الثاني والعشرين من مارس.
في جميع الأوقات.,___ في جميع الأوقات.
التمثيل الضوئي,التمثيل الضوئي ___
بالمحافظة على النباتات والحيوانات.,___ بالمحافظة على النباتات والحيوانات.
التواصل الاجتماعي,___ التواصل الاجتماعي
الرحيل,___ الرحيل
نابليون بونابرت,نابليون بونابرت ___
الهاتف أو الإنترنت.,___ الهاتف أو الإنترنت.
بالحد من الاستهلاك.,___ بالحد من الاستهلاك.
يجب أن انتقل إلى شقتي! ولكن كيف ؟,يجب أن انتقل إلى شقتي! ولكن كيف ___ ؟
حفل تكريم,___ حفل تكريم
باختيار وظيفة مناسبة.,___ باختيار وظيفة مناسبة.
قرأت كتابا عن السعادة وآخر عن السينما,قرأت كتابا عن السعادة و___آخر عن السينما
بالمكونات الطازجة.,___ بالمكونات الطازجة.
بمناقشة الأفكار والآراء.,___ بمناقشة الأفكار والآراء.
الخبز أو الأرز.,___ الخبز أو الأرز.
خوفو,خوفو ___
علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر,علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر ___
فبراير,فبراير ___
ماو تسي تونغ,ماو تسي تونغ ___
بالاجتماع بانتظام.,___ بالاجتماع بانتظام.
بزيادة الرواتب وتوفير المزايا.,___ بزيادة الرواتب وتوفير المزايا.
وهو في خلوته ولا يراه أحد إلا الله.,وهو في خلوته ولا يراه أحد إلا الله ___.
الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا ؟,الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا ___؟
من المواقع الموثوقة.,___ من المواقع الموثوقة.
ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن للتصريف فلا,ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن للتصريف فلا ___
بالبطاقات الائتمانية والحسابات البنكية.,___ بالبطاقات الائتمانية والحسابات البنكية.
جان جاك روسو,جان جاك روسو ___
فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك إلى الحماس الشديد,فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك ___ إلى الحماس الشديد
روبرت شومان وجان مونيه,روبرت شومان وجان مونيه ___
ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و آخر عن الحل السياسي من كافة جوانبه,ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و ___ آخر عن الحل السياسي من كافة جوانبه
من المحترفين الطبيين.,___ من المحترفين الطبيين.
إذ لابد أن ينزلوا من فوقها ولكن كيف ؟,إذ لابد أن ينزلوا من فوقها ولكن كيف ___ ؟
عمر يمكنه شراء سيارة، وحسن أيضا يستطيع,عمر يمكنه شراء سيارة، وحسن أيضا يستطيع ___
كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا,كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا ___
ستقع في مشاكل كل يوم بسبب الصلة بإسرائيل، فقال ولكن لماذا ؟,ستقع في مشاكل كل يوم بسبب الصلة بإسرائيل، فقال ولكن لماذا ___؟
في الشهر الماضي.,___ في الشهر الماضي.
بالامتناع عن التمييز.,___ بالامتناع عن التمييز.
بمنحها العناية والحب.,___ بمنحها العناية والحب.
على الشواطئ وفي الأماكن السياحية.,___ على الشواطئ وفي الأماكن السياحية.
جيمس وات,جيمس وات ___
أبريل,أبريل ___
بتبادل الثقافات.,___ بتبادل الثقافات.
ولو,ولو ___
ميغيل دي سرفانتس,ميغيل دي سرفانتس ___
في نهاية كل عام.,___ في نهاية كل عام.
ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ؟,ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ___ ؟
عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ؟,عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ___؟
نادية كانت تعوم في المسبح و تشرب العصير,نادية كانت تعوم في المسبح و ___ تشرب العصير
يوسف ستالين,يوسف ستالين ___
نعم السودان يمكنه أن يحقق طفرات ولكن كيف ؟,نعم السودان يمكنه أن يحقق طفرات ولكن كيف ___ ؟
بالسقاية والتسميد.,___ بالسقاية والتسميد.
بانتظار الضوء الخضراء.,___ بانتظار الضوء الخضراء.
لم تعد مسألة هل سيغادر القذافي السلطة أم لا، ولكنى متى ؟,لم تعد مسألة هل سيغادر القذافي السلطة أم لا، ولكنى متى ___ ؟
نبروخذنزر,نبروخذنزر ___
بالدراسة والامتحانات.,___ بالدراسة والامتحانات.
في الفترات المحددة من العمر.,___ في الفترات المحددة من العمر.
بقضاء وقت جيد مع أفراد العائلة.,___ بقضاء وقت جيد مع أفراد العائلة.
في المكتبات.,___ في المكتبات.
في الجريدة أو الإذاعة.,___ في الجريدة أو الإذاعة.
في الأدراج والخزائن.,___ في الأدراج والخزائن.
عثمان بن أرطغرل,عثمان بن أرطغرل ___
بتخصيص الوقت للأسرة والاسترخاء.,___ بتخصيص الوقت للأسرة والاسترخاء.
مارتن لوثر كينغ,مارتن لوثر كينغ ___
بعد اتمام استبيان عن الرؤية و آخر عن الترقي والثواب والعقاب في وسائل الإعلام,بعد اتمام استبيان عن الرؤية و ___ آخر عن الترقي والثواب والعقاب في وسائل الإعلام
فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ولكن لماذا ؟,فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ولكن لماذا ___؟
الزهرة,الزهرة ___
عند مغادرة الغرفة.,___ عند مغادرة الغرفة.
بالغراء أو البراغي.,___ بالغراء أو البراغي.
بعد أن أصبح غنياً وسوف أعمل للاسلام بعد أن أتفرغ من المشاكل. ولكن متى ؟,بعد أن أصبح غنياً وسوف أعمل للاسلام بعد أن أتفرغ من المشاكل. ولكن متى ___ ؟
بالتطوع والمشاركة.,___ بالتطوع والمشاركة.
هي التي يجب أن تسود العالم ، ولكن متى ؟,هي التي يجب أن تسود العالم ، ولكن متى ___ ؟
استياء,___ استياء
هل يجوز للمراه ممارسة الرياضة بالمراكز المخصصه بالنساء وكذلك ممارسة رياضة كرة السلة وكرة الطائرة,هل يجوز للمراه ممارسة الرياضة بالمراكز المخصصه بالنساء وكذلك ___ ممارسة رياضة كرة السلة وكرة الطائرة
في المكتبة أو المعرض.,___ في المكتبة أو المعرض.
في الأوقات المخصصة للصلوات والعبادة.,___ في الأوقات المخصصة للصلوات والعبادة.
بالتخلص من النفايات بشكل صحيح.,___ بالتخلص من النفايات بشكل صحيح.
خاطئ,خاطئ ___
إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك عن كل الذين اعتقلوا لتعبيرهم عن آراهم,إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك ___ عن كل الذين اعتقلوا لتعبيرهم عن آراهم
أصفر,___ أصفر
قرأت فى الثانية عشر كتابا عن شوبنهاور و آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت فى الثانية عشر كتابا عن شوبنهاور و ___ آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية
ولو,___ ولو
منهم من يعمل ويستلم راتب وكذلك رشاوي,منهم من يعمل ويستلم راتب وكذلك ___ رشاوي
وندوة الثقافة العلمية ودورها في التنمية الوطنية، و أخرى عن الأطباء والأدباء والأدب في حياتهم,وندوة الثقافة العلمية ودورها في التنمية الوطنية، و ___ أخرى عن الأطباء والأدباء والأدب في حياتهم
يتناول هذا المقال التعريف بالأسمدة العضوية وأهم فوائدها وكذلك أضرار الأسمدة الكيماوية,يتناول هذا المقال التعريف بالأسمدة العضوية وأهم فوائدها وكذلك ___ أضرار الأسمدة الكيماوية
ليوناردو دافنشي,ليوناردو دافنشي ___
في المحلات أو الأسواق.,___ في المحلات أو الأسواق.
بالتخطيط والتفاني.,___ بالتخطيط والتفاني.
بالماء أو العصير.,___ بالماء أو العصير.
بتنظيم وقتنا.,___ بتنظيم وقتنا.
بعدم مشاركة المعلومات الشخصية.,___ بعدم مشاركة المعلومات الشخصية.
ونقيب أطباء الجيزة وممثل عن هيئة الإسعاف، و آخر عن مديرية الشئون الصحية بالجيزة.,ونقيب أطباء الجيزة وممثل عن هيئة الإسعاف، و ___ آخر عن مديرية الشئون الصحية بالجيزة.
بالاهتمام والاحترام.,___ بالاهتمام والاحترام.
ثم عاد الضيف بقصيدة عن ذكرى عبور السويس و أخرى عن الغزل,ثم عاد الضيف بقصيدة عن ذكرى عبور السويس و ___ أخرى عن الغزل
بغسل الأطباق وكنس الأرضية.,___ بغسل الأطباق وكنس الأرضية.
كانبرا,كانبرا ___
الكربون,الكربون ___
الآلة الحاسبة أو التطبيقات.,___ الآلة الحاسبة أو التطبيقات.
بالمشاركة في الفعاليات الاجتماعية.,___ بالمشاركة في الفعاليات الاجتماعية.
تقدير,___ تقدير
الديناصورات,الديناصورات ___
في مدارس اللغات.,___ في مدارس اللغات.
الحوت الأزرق,الحوت الأزرق ___
الليل,الليل ___
في الأسواق الصحية.,___ في الأسواق الصحية.
بالتخييم ورحلات الهواء الطلق.,___ بالتخييم ورحلات الهواء الطلق.
في صناديق التبرع.,___ في صناديق التبرع.
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,لسماع حكمة جديدة كل يوم و___أخرى عن عالمات الفلك والنجوم
إلى المسجد أو المصلى.,___ إلى المسجد أو المصلى.
بتنظيفها بانتظام.,___ بتنظيفها بانتظام.
إيفرست,إيفرست ___
نيلسون مانديلا,نيلسون مانديلا ___
البرتغالية,البرتغالية ___
البحوث الأكاديمية التى أنجزها علماء أجانب ومصريون عن العصر الفرعونى وكذلك عن العصر الإسلامي,البحوث الأكاديمية التى أنجزها علماء أجانب ومصريون عن العصر الفرعونى وكذلك ___ عن العصر الإسلامي
في الصالة الرياضية.,___ في الصالة الرياضية.
الملابس الدافئة والكنزات والجوارب.,___ الملابس الدافئة والكنزات والجوارب.
قلق,___ قلق
الصقر,الصقر ___
هذا الطالب متفوق وذكي,هذا الطالب متفوق و___ذكي
هم يستطيع أن ينجحوا في الامتحان، ونحن كذلك,هم يستطيع أن ينجحوا في الامتحان، ونحن كذلك ___
